id,date,store_nbr,family,sales,onpromotion
2483653,2016-10-28,46,CLEANING,2576.0,61
2761877,2017-04-03,52,DAIRY,0.0,0
1217988,2014-11-16,33,MEATS,357.354,2
1231938,2014-11-24,25,HOME AND KITCHEN I,5.0,0
528175,2013-10-24,29,EGGS,0.0,0
1556448,2015-05-26,30,BEVERAGES,1252.0,0
1307554,2015-01-06,46,POULTRY,1052.111,2
1063711,2014-08-21,54,"LIQUOR,WINE,BEER",20.0,0
25515,2013-01-15,25,CELEBRATION,0.0,0
2267762,2016-06-29,39,BEAUTY,7.0,0
88001,2013-02-19,28,MAGAZINES,0.0,0
463208,2013-09-17,6,LAWN AND GARDEN,1.0,0
492186,2013-10-04,19,MEATS,159.022,0
686609,2014-01-22,24,FROZEN FOODS,111.0,0
907254,2014-05-26,15,HOME CARE,0.0,0
1619353,2015-06-30,45,EGGS,329.0,0
2739971,2017-03-22,38,HARDWARE,1.0,0
2279180,2016-07-06,1,BEAUTY,2.0,1
2683297,2017-02-18,48,BABY CARE,0.0,0
1071702,2014-08-26,29,PLAYERS AND ELECTRONICS,0.0,0
2663310,2017-02-07,37,GROCERY I,3961.0,53
2579933,2016-12-21,47,PET SUPPLIES,32.0,1
1911703,2015-12-11,48,GROCERY II,55.0,0
496055,2013-10-06,27,SEAFOOD,29.984,0
1716889,2015-08-24,31,SCHOOL AND OFFICE SUPPLIES,1.0,0
2454710,2016-10-12,34,BREAD/BAKERY,543.0,8
1181629,2014-10-27,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
1281943,2014-12-22,28,PERSONAL CARE,445.0,0
2487892,2016-10-31,15,"LIQUOR,WINE,BEER",16.0,2
800225,2014-03-27,12,DAIRY,305.0,0
1091467,2014-09-06,33,PERSONAL CARE,228.0,0
2819130,2017-05-06,1,CELEBRATION,15.0,0
1152033,2014-10-10,33,BEVERAGES,1315.0,2
5533,2013-01-04,14,"LIQUOR,WINE,BEER",42.0,0
2201003,2016-05-23,16,BEAUTY,0.0,0
2709533,2017-03-05,34,BEAUTY,3.0,1
575546,2013-11-19,8,PET SUPPLIES,0.0,0
1963289,2016-01-10,45,LAWN AND GARDEN,18.0,0
295647,2013-06-15,54,AUTOMOTIVE,9.0,0
635055,2013-12-23,28,BEVERAGES,1177.0,0
351917,2013-07-17,33,BREAD/BAKERY,210.0,0
2384446,2016-09-03,12,SCHOOL AND OFFICE SUPPLIES,13.0,6
1620866,2015-07-01,38,BREAD/BAKERY,697.348,3
2269923,2016-06-30,49,HOME CARE,327.0,1
369123,2013-07-27,16,HOME CARE,0.0,0
2803695,2017-04-27,26,HOME AND KITCHEN I,16.0,2
377330,2013-07-31,46,DAIRY,584.0,0
1429586,2015-03-16,20,PET SUPPLIES,0.0,0
221694,2013-05-05,3,AUTOMOTIVE,10.0,0
649683,2014-01-01,38,GROCERY I,0.0,0
1328665,2015-01-18,39,LADIESWEAR,0.0,0
2598821,2017-01-02,28,BREAD/BAKERY,996.0,2
2233190,2016-06-10,19,HARDWARE,0.0,0
292486,2013-06-14,16,CLEANING,592.0,0
2591213,2016-12-29,14,LAWN AND GARDEN,0.0,0
1589656,2015-06-14,12,GROCERY II,5.0,0
2838027,2017-05-16,39,PLAYERS AND ELECTRONICS,9.0,0
234341,2013-05-12,34,DAIRY,166.0,0
1684020,2015-08-06,1,PRODUCE,2275.885,0
922900,2014-06-03,53,"LIQUOR,WINE,BEER",18.0,0
402728,2013-08-14,9,PREPARED FOODS,77.0,0
1623778,2015-07-03,2,GROCERY II,31.0,0
717220,2014-02-08,32,SCHOOL AND OFFICE SUPPLIES,0.0,0
1363925,2015-02-07,29,BEAUTY,0.0,0
2967479,2017-07-28,21,LAWN AND GARDEN,4.0,0
2899221,2017-06-19,7,CELEBRATION,16.0,0
1954652,2016-01-05,52,PREPARED FOODS,0.0,0
82075,2013-02-16,12,BOOKS,0.0,0
2182823,2016-05-12,6,BREAD/BAKERY,487.154,15
957759,2014-06-23,32,AUTOMOTIVE,4.0,0
2305848,2016-07-20,8,CELEBRATION,26.0,0
937306,2014-06-11,9,CLEANING,1245.0,0
1056503,2014-08-17,52,DAIRY,0.0,0
202123,2013-04-24,3,SCHOOL AND OFFICE SUPPLIES,0.0,0
1199451,2014-11-06,14,AUTOMOTIVE,1.0,0
2106790,2016-03-31,22,BOOKS,0.0,0
1067545,2014-08-24,12,POULTRY,246.716,0
121856,2013-03-10,28,LAWN AND GARDEN,0.0,0
1361367,2015-02-05,7,HOME CARE,0.0,0
1251145,2014-12-05,14,HOME AND KITCHEN II,4.0,0
1788981,2015-10-03,54,HOME CARE,296.0,2
1578381,2015-06-07,45,MEATS,1927.81,0
1921720,2015-12-17,29,SCHOOL AND OFFICE SUPPLIES,1.0,0
2652750,2017-02-01,40,GROCERY I,6073.0,39
775935,2014-03-13,30,CELEBRATION,3.0,0
2739389,2017-03-22,21,PET SUPPLIES,5.0,1
1220808,2014-11-18,13,CELEBRATION,6.0,0
277687,2013-06-05,5,PERSONAL CARE,175.0,0
313583,2013-06-25,8,HOME APPLIANCES,2.0,0
812905,2014-04-03,18,HOME AND KITCHEN II,0.0,0
1431766,2015-03-17,31,POULTRY,155.723,1
1775039,2015-09-26,14,BEAUTY,2.0,0
2932773,2017-07-08,47,PRODUCE,6112.877,15
2716355,2017-03-09,25,PET SUPPLIES,2.0,0
301378,2013-06-19,15,"LIQUOR,WINE,BEER",24.0,0
2275403,2016-07-03,52,LAWN AND GARDEN,0.0,0
2218478,2016-06-01,6,LAWN AND GARDEN,0.0,0
2324883,2016-07-31,41,AUTOMOTIVE,13.0,0
2512455,2016-11-13,54,AUTOMOTIVE,10.0,0
1293380,2014-12-29,49,FROZEN FOODS,1206.576,5
2071795,2016-03-11,4,"LIQUOR,WINE,BEER",115.0,0
2227992,2016-06-07,22,PRODUCE,459.99,76
1596937,2015-06-18,17,BABY CARE,0.0,0
895427,2014-05-19,33,BREAD/BAKERY,287.0,0
2968188,2017-07-28,41,BEVERAGES,2490.0,0
1276946,2014-12-19,38,FROZEN FOODS,2003.811,2
2520739,2016-11-18,37,BABY CARE,0.0,0
2077047,2016-03-14,37,PLAYERS AND ELECTRONICS,15.0,0
2387780,2016-09-04,6,SEAFOOD,78.716,2
1139090,2014-10-03,2,PREPARED FOODS,121.858,1
2800458,2017-04-25,35,GROCERY I,1601.036,62
2563867,2016-12-12,46,SCHOOL AND OFFICE SUPPLIES,9.0,0
1904863,2015-12-07,7,BOOKS,0.0,0
1136916,2014-10-02,1,AUTOMOTIVE,2.0,0
2928703,2017-07-06,33,LADIESWEAR,0.0,0
2702601,2017-03-01,4,AUTOMOTIVE,2.0,0
2136562,2016-04-16,8,EGGS,480.0,1
2846009,2017-05-21,13,MAGAZINES,1.0,0
1772558,2015-09-24,43,PREPARED FOODS,72.0,0
2166424,2016-05-03,45,CLEANING,2548.0,12
110041,2013-03-03,46,LADIESWEAR,0.0,0
2397765,2016-09-10,36,HOME CARE,249.0,7
2239583,2016-06-13,48,BREAD/BAKERY,711.26,3
880069,2014-05-10,51,PERSONAL CARE,418.0,0
824638,2014-04-09,47,BABY CARE,0.0,0
37169,2013-01-21,51,FROZEN FOODS,133.982,0
2023508,2016-02-13,35,HARDWARE,0.0,0
1902519,2015-12-06,40,BEVERAGES,3700.0,1
2273241,2016-07-02,42,BEVERAGES,3601.0,8
691061,2014-01-24,49,DAIRY,1445.0,0
1483376,2015-04-15,3,PET SUPPLIES,0.0,0
1882552,2015-11-25,30,BABY CARE,0.0,0
948320,2014-06-18,17,SEAFOOD,8.0,0
1372395,2015-02-12,16,MEATS,89.832,10
1164175,2014-10-17,24,BABY CARE,0.0,0
706460,2014-02-02,30,PREPARED FOODS,22.0,0
1748540,2015-09-11,20,BEAUTY,1.0,0
626040,2013-12-18,24,PRODUCE,0.0,0
2137014,2016-04-17,20,AUTOMOTIVE,9.0,0
2469556,2016-10-20,50,BABY CARE,0.0,0
1772334,2015-09-24,38,BEVERAGES,1823.0,7
1582157,2015-06-09,51,BREAD/BAKERY,782.317,0
1981150,2016-01-20,46,POULTRY,846.539,2
1558159,2015-05-27,28,SCHOOL AND OFFICE SUPPLIES,0.0,0
194383,2013-04-20,13,GROCERY II,8.0,0
1098249,2014-09-10,24,DELI,190.112,0
2100826,2016-03-27,54,GROCERY II,16.0,2
713500,2014-02-06,29,CLEANING,0.0,0
1065408,2014-08-22,52,BEVERAGES,0.0,0
1873303,2015-11-20,20,PERSONAL CARE,275.0,0
438973,2013-09-04,26,CLEANING,574.0,0
179424,2013-04-11,43,BEVERAGES,1024.0,0
727718,2014-02-14,28,BEAUTY,0.0,0
632570,2013-12-21,8,PET SUPPLIES,0.0,0
1968938,2016-01-13,53,PET SUPPLIES,0.0,0
1174744,2014-10-23,20,EGGS,0.0,0
27280,2013-01-16,24,"LIQUOR,WINE,BEER",65.0,0
2286880,2016-07-10,25,GROCERY II,10.0,0
795554,2014-03-24,30,MAGAZINES,1.0,0
1163940,2014-10-17,17,PRODUCE,436.301,0
2942166,2017-07-14,11,HOME CARE,442.0,13
2788556,2017-04-18,50,MAGAZINES,5.0,0
1333743,2015-01-21,31,HOME AND KITCHEN I,8.0,0
562065,2013-11-12,3,DELI,282.49,0
384267,2013-08-04,40,HOME AND KITCHEN I,0.0,0
2239587,2016-06-13,48,DELI,507.761,8
2067343,2016-03-09,15,PERSONAL CARE,183.0,8
1042838,2014-08-10,2,BREAD/BAKERY,554.413,1
1747437,2015-09-10,39,LINGERIE,4.0,0
1135241,2014-10-01,12,DAIRY,348.0,1
626869,2013-12-18,48,BABY CARE,0.0,0
487101,2013-10-01,26,LINGERIE,6.0,0
2107058,2016-03-31,3,DAIRY,1872.0,1
13514,2013-01-08,38,HOME APPLIANCES,0.0,0
1688259,2015-08-08,29,GROCERY I,3019.294,4
1709872,2015-08-20,35,EGGS,246.0,0
246114,2013-05-19,15,AUTOMOTIVE,9.0,0
2064744,2016-03-07,42,AUTOMOTIVE,2.0,0
839220,2014-04-17,6,PRODUCE,13.0,0
377169,2013-07-31,41,GROCERY I,1946.0,0
342120,2013-07-11,9,DELI,368.824,0
2168433,2016-05-04,51,BEVERAGES,5503.0,34
1296780,2014-12-31,44,GROCERY I,7743.0,14
286060,2013-06-10,35,HOME AND KITCHEN II,0.0,0
1349966,2015-01-30,37,BEAUTY,2.0,1
924084,2014-06-04,37,HOME CARE,0.0,0
1565156,2015-05-31,24,SEAFOOD,58.285,0
2193275,2016-05-18,48,PREPARED FOODS,93.109,1
2791386,2017-04-20,30,HOME AND KITCHEN I,14.0,1
2213672,2016-05-30,20,SEAFOOD,8.0,1
2422459,2016-09-24,29,POULTRY,191.703,0
868325,2014-05-04,22,PREPARED FOODS,0.0,0
957605,2014-06-23,28,FROZEN FOODS,24.0,0
2144001,2016-04-21,16,MEATS,80.012,14
1460106,2015-04-02,27,LINGERIE,5.0,0
1973320,2016-01-16,27,LADIESWEAR,8.0,0
956480,2014-06-22,46,DAIRY,2381.0,0
1084895,2014-09-02,49,LAWN AND GARDEN,19.0,0
1024592,2014-07-30,8,DAIRY,1369.0,0
169454,2013-04-06,13,SEAFOOD,7.0,0
1156086,2014-10-12,46,PRODUCE,4526.018,2
2509289,2016-11-12,16,BEAUTY,4.0,1
710483,2014-02-04,43,PET SUPPLIES,0.0,0
1630771,2015-07-07,16,EGGS,250.0,0
272972,2013-06-03,18,PREPARED FOODS,58.0,0
1290175,2014-12-28,1,CLEANING,169.0,0
1798714,2015-10-09,28,HOME AND KITCHEN II,14.0,0
384467,2013-08-04,46,HOME APPLIANCES,1.0,0
449117,2013-09-10,10,LAWN AND GARDEN,0.0,0
1839476,2015-11-01,21,MAGAZINES,3.0,0
1352173,2015-01-31,48,SCHOOL AND OFFICE SUPPLIES,0.0,0
2748653,2017-03-27,31,HOME APPLIANCES,0.0,0
668217,2014-01-11,9,AUTOMOTIVE,10.0,0
2834013,2017-05-14,27,CELEBRATION,24.0,0
1754336,2015-09-14,32,MAGAZINES,0.0,0
